PROCESS_CODE,TOTAL_JOBS,CRITICAL_JOBS,WARNING_JOBS,TOTAL_QTY,AVG_AGING_DAYS,EMPLOYEES_ASSIGNED,AVAILABILITY_STATUS,UTILIZATION_PCT
10,154,102,22,154.0,114.54,39,Overloaded,80.52
100,220,154,41,220.0,75.65,26,Overloaded,88.64
110,408,225,128,408.0,47.77,18,Overloaded,86.52
120,48,45,2,48.0,139.66,16,Overloaded,97.92
130,20,15,5,20.0,99.34,10,Overloaded,100.0
140,42,29,8,42.0,57.37,16,Overloaded,88.1
150,8,7,1,8.0,48.04,4,Overloaded,100.0
160,3,3,0,3.0,175.45,3,Overloaded,100.0
170,15,15,0,15.0,197.6,2,Overloaded,100.0
180,2,2,0,2.0,307.17,1,Overloaded,100.0
20,51,35,5,51.0,135.17,27,Overloaded,78.43
30,72,38,13,72.0,67.86,23,Overloaded,70.83
40,117,64,25,117.0,64.7,26,Overloaded,76.07
50,127,73,33,127.0,89.63,21,Overloaded,83.46
60,292,168,58,292.0,73.07,34,Overloaded,77.4
70,613,294,196,613.0,40.89,45,Overloaded,79.93
80,1550,595,517,1550.0,30.77,44,Overloaded,71.74
90,130,105,14,130.0,132.87,33,Overloaded,91.54
NO_PROCESS,17,0,0,0.0,0.0,1,Available,0.0
